,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
65,0 days 00:18:05.643000,HAD,6,0 days 00:01:26.964000,2.0,1.0,,,28.956,18.468,39.54,0 days 00:17:07.635000,0 days 00:17:26.103000,0 days 00:18:05.643000,272.0,306.0,298.0,315.0,True,MEDIUM,2.0,True,Racing Bulls,0 days 00:16:38.679000,2025-03-14 01:32:06.688,1,,False,,False,True,86.964,86.964
66,0 days 00:19:27.391000,HAD,6,0 days 00:01:21.748000,3.0,1.0,,,28.065,18.122,35.561,0 days 00:18:33.708000,0 days 00:18:51.830000,0 days 00:19:27.391000,276.0,309.0,301.0,319.0,True,MEDIUM,3.0,True,Racing Bulls,0 days 00:18:05.643000,2025-03-14 01:33:33.652,1,,False,,False,True,81.748,81.74799999999999
67,0 days 00:21:30.179000,HAD,6,0 days 00:02:02.788000,4.0,1.0,,,50.705,26.323,45.76,0 days 00:20:18.096000,0 days 00:20:44.419000,0 days 00:21:30.179000,167.0,268.0,302.0,195.0,False,MEDIUM,4.0,True,Racing Bulls,0 days 00:19:27.391000,2025-03-14 01:34:55.400,1,,False,,False,True,122.788,122.78799999999998
68,0 days 00:22:49.689000,HAD,6,0 days 00:01:19.510000,5.0,1.0,,,27.645,17.802,34.063,0 days 00:21:57.824000,0 days 00:22:15.626000,0 days 00:22:49.689000,283.0,321.0,303.0,323.0,True,MEDIUM,5.0,True,Racing Bulls,0 days 00:21:30.179000,2025-03-14 01:36:58.188,1,,False,,False,True,79.51,79.51
69,0 days 00:25:03.828000,HAD,6,0 days 00:02:14.139000,6.0,1.0,,,53.746,27.546,52.847,0 days 00:23:43.435000,0 days 00:24:10.981000,0 days 00:25:03.828000,174.0,216.0,303.0,242.0,False,MEDIUM,6.0,True,Racing Bulls,0 days 00:22:49.689000,2025-03-14 01:38:17.698,1,,False,,False,True,134.139,134.139
70,0 days 00:26:22.659000,HAD,6,0 days 00:01:18.831000,7.0,1.0,,,27.272,17.677,33.882,0 days 00:25:31.100000,0 days 00:25:48.777000,0 days 00:26:22.659000,284.0,325.0,302.0,323.0,True,MEDIUM,7.0,True,Racing Bulls,0 days 00:25:03.828000,2025-03-14 01:40:31.837,1,,False,,False,True,78.831,78.83099999999999
71,0 days 00:28:47.332000,HAD,6,0 days 00:02:24.673000,8.0,1.0,,0 days 00:28:22.273000,49.646,23.63,71.397,0 days 00:27:12.305000,0 days 00:27:35.935000,0 days 00:28:47.332000,191.0,209.0,,90.0,False,MEDIUM,8.0,True,Racing Bulls,0 days 00:26:22.659000,2025-03-14 01:41:50.668,1,,False,,False,False,144.673,144.673
72,0 days 00:30:38.193000,HAD,6,0 days 00:01:50.861000,9.0,2.0,0 days 00:28:49.412000,,44.049,23.058,43.754,0 days 00:29:31.381000,0 days 00:29:54.439000,0 days 00:30:38.193000,214.0,247.0,303.0,177.0,False,MEDIUM,9.0,False,Racing Bulls,0 days 00:28:47.332000,2025-03-14 01:44:15.341,1,,False,,False,False,110.861,110.86099999999999
73,0 days 00:31:56.411000,HAD,6,0 days 00:01:18.218000,10.0,2.0,,,27.025,17.641,33.552,0 days 00:31:05.218000,0 days 00:31:22.859000,0 days 00:31:56.411000,284.0,321.0,303.0,322.0,True,MEDIUM,10.0,False,Racing Bulls,0 days 00:30:38.193000,2025-03-14 01:46:06.202,1,,False,,False,True,78.218,78.21799999999999
74,0 days 00:39:56.816000,HAD,6,,11.0,2.0,,0 days 00:33:45.165000,32.876,23.95,,0 days 00:32:29.467000,0 days 00:32:53.488000,,248.0,266.0,,262.0,False,MEDIUM,11.0,False,Racing Bulls,0 days 00:31:56.411000,2025-03-14 01:47:24.420,15,,False,,False,False,,
75,0 days 00:41:50.608000,HAD,6,0 days 00:01:53.792000,12.0,3.0,0 days 00:40:02.582000,,57.395,18.509,37.888,0 days 00:40:54.211000,0 days 00:41:12.720000,0 days 00:41:50.608000,273.0,302.0,289.0,218.0,False,MEDIUM,12.0,False,Racing Bulls,0 days 00:40:02.582000,2025-03-14 01:55:30.591,1,,False,,False,False,113.792,113.792
76,0 days 00:43:12.247000,HAD,6,0 days 00:01:21.639000,13.0,3.0,,,28.121,18.198,35.32,0 days 00:42:18.729000,0 days 00:42:36.927000,0 days 00:43:12.247000,,306.0,292.0,308.0,False,MEDIUM,13.0,False,Racing Bulls,0 days 00:41:50.608000,2025-03-14 01:57:18.617,1,,False,,False,True,81.639,81.63900000000001
77,0 days 00:44:33.453000,HAD,6,0 days 00:01:21.206000,14.0,3.0,,,28.107,18.104,34.995,0 days 00:43:40.354000,0 days 00:43:58.458000,0 days 00:44:33.453000,274.0,297.0,290.0,300.0,False,MEDIUM,14.0,False,Racing Bulls,0 days 00:43:12.247000,2025-03-14 01:58:40.256,12,,False,,False,True,81.206,81.20599999999999
78,0 days 00:45:55.044000,HAD,6,0 days 00:01:21.591000,15.0,3.0,,,28.201,18.286,35.104,0 days 00:45:01.654000,0 days 00:45:19.940000,0 days 00:45:55.044000,269.0,291.0,293.0,292.0,False,MEDIUM,15.0,False,Racing Bulls,0 days 00:44:33.453000,2025-03-14 02:00:01.462,1,,False,,False,True,81.591,81.59100000000001
79,0 days 01:03:51.599000,HAD,6,,16.0,3.0,,0 days 00:47:16.459000,29.554,18.087,,0 days 00:46:24.755000,0 days 00:46:42.853000,,268.0,313.0,,298.0,False,MEDIUM,16.0,False,Racing Bulls,0 days 00:45:55.044000,2025-03-14 02:01:23.053,15,,False,,False,False,,
80,0 days 01:05:54.739000,HAD,6,0 days 00:02:03.140000,17.0,4.0,0 days 01:03:56.595000,,50.618,18.874,53.648,0 days 01:04:42.217000,0 days 01:05:01.091000,0 days 01:05:54.739000,262.0,238.0,290.0,151.0,False,MEDIUM,17.0,False,Racing Bulls,0 days 01:03:56.595000,2025-03-14 02:19:24.604,1,,False,,False,False,123.14,123.14000000000001
81,0 days 01:07:15.726000,HAD,6,0 days 00:01:20.987000,18.0,4.0,,,28.14,18.096,34.751,0 days 01:06:22.879000,0 days 01:06:40.975000,0 days 01:07:15.726000,272.0,299.0,291.0,299.0,False,MEDIUM,18.0,False,Racing Bulls,0 days 01:05:54.739000,2025-03-14 02:21:22.748,1,,False,,False,True,80.987,80.987
82,0 days 01:08:36.801000,HAD,6,0 days 00:01:21.075000,19.0,4.0,,,28.18,18.253,34.642,0 days 01:07:43.906000,0 days 01:08:02.159000,0 days 01:08:36.801000,271.0,293.0,291.0,294.0,False,MEDIUM,19.0,False,Racing Bulls,0 days 01:07:15.726000,2025-03-14 02:22:43.735,1,,False,,False,True,81.075,81.075
83,0 days 01:10:45.898000,HAD,6,0 days 00:02:09.097000,20.0,4.0,,0 days 01:09:56.229000,28.017,18.067,83.013,0 days 01:09:04.818000,0 days 01:09:22.885000,0 days 01:10:45.898000,269.0,296.0,,293.0,False,MEDIUM,20.0,False,Racing Bulls,0 days 01:08:36.801000,2025-03-14 02:24:04.810,1,,False,,False,False,129.097,129.097
